g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
20.249 3.194 1.457 1.398 0.798 -26.037 16.482 -9.13 -0.66 15.63 -2.87 0.01029 14.38 5 7.45 3130.0 5.08 3 1.6404 0.276 11.685 0.142 -0.179 -0.001 239.519867 -48.37606 61.13306 -37.260899 0.0971 -8.0327 -0.0556 -0.0576 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.951 2.959 1.391 1.331 0.769 -12.682 11.808 9.55 -5.4 0.84 -11.54 0.01115 13.29 5 7.4 3248.0 4.87 1 0.219 0.066 10.885 0.196 0.086 -0.026 239.971237 -48.267384 61.271496 -37.560574 0.0897 -8.0299 -0.0517 -0.052 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
16.593 2.928 1.304 0.995 0.571 27.998 75.1 41.18 -47.05 -14.55 -20.75 0.01074 10.92 5 7.25 3388.0 4.77 6 5.9668 0.475 9.61 0.292 0.272 0.002 239.960861 -47.746986 61.927879 -37.550728 0.0931 -8.0313 -0.0542 -0.0539 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.055 3.062 1.345 1.178 0.679 -28.367 51.578 28.16 -26.0 4.89 -29.14 0.00968 12.12 5 7.35 3328.0 4.84 3 1.3962 0.206 10.193 0.248 0.071 0.035 240.075272 -48.04641 61.550606 -37.629345 0.1034 -8.0345 -0.0599 -0.0619 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.001 3.051 1.324 1.087 0.625 31.556 -21.811 -10.83 8.89 -11.05 20.71 0.00854 11.82 5 7.3 3506.0 4.93 7 8.5622 0.396 9.874 0.273 0.046 0.024 239.288269 -48.003254 61.598965 -37.102634 0.117 -8.04 -0.0673 -0.072 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.15 3.184 1.446 1.441 0.828 86.313 63.648 3.89 -51.83 -15.37 31.21 0.00804 14.75 5 7.5 3077.0 5.08 6 5.8721 0.114 11.909 0.13 -0.18 0.042 239.5961 -48.260765 61.278408 -37.310814 0.1244 -8.0419 -0.0714 -0.0778 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.483 3.19 1.466 1.358 0.771 -36.412 30.023 0.95 -5.59 23.58 -11.65 0.00804 14.07 5 7.45 3046.0 4.93 7 8.5275 0.25 11.462 0.156 -0.382 -0.025 239.610519 -48.30658 61.220871 -37.320713 0.1244 -8.0419 -0.0714 -0.0779 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.201 3.054 1.419 1.365 0.786 36.989 26.419 23.56 -28.76 -17.78 -0.89 0.00831 13.89 5 7.45 3201.0 4.86 5 4.0348 0.099 11.241 0.17 -0.071 0.016 240.477951 -48.444637 61.046318 -37.896843 0.1204 -8.0393 -0.0695 -0.0751 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.729 3.077 1.456 1.259 0.715 32.516 -27.556 48.14 -9.62 -48.86 -22.75 0.00786 13.27 5 7.4 3209.0 5.14 6 5.9544 0.207 10.816 0.201 -0.416 0.023 239.78537 -47.97506 61.639099 -37.434982 0.1272 -8.0429 -0.0736 -0.0795 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
18.354 3.062 1.345 1.178 0.679 4.796 -55.606 -13.92 30.05 -12.36 10.82 0.00813 12.04 5 7.35 3349.0 5.19 6 6.0305 0.335 10.193 0.248 0.233 0.003 240.049927 -47.957405 61.662895 -37.611996 0.123 -8.0411 -0.0714 -0.0764 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
